tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい</b> <br> やさしい <br> [sound:4c-k-優しい.mp3]
Movies are one of people's forms of entertainment.	<b>音楽倶楽部は毎週練習しています。</b> <br> えいがはひとびとのごらくのひとつです。 <br><br> (倶楽部) <br> [sound:4c-s-音楽倶楽部は毎週練習しています。.mp3]
[sound:4c-k-娯楽.mp3]	<b>娯楽</b> <br> ごらく <br> pleasure, amusement
娯楽	<b>ごらく</b> <br> pleasure, amusement <br> [sound:4c-k-娯楽.mp3]
pleasure, amusement	<b>娯楽</b> <br> ごらく <br> [sound:4c-k-娯楽.mp3]
[sound:4c-s-映画は人々の娯楽の一つです。.mp3]	<b>映画は人々の娯楽の一つです。</b> <br> のうがくはにほんのでんとうてきなぶたいげいじゅつです。 <br><br> (娯楽) <br> Noh is a traditional Japanese performing art.
映画は人々の娯楽の一つです。 <br><br> (娯楽)	<b>のうがくはにほんのでんとうてきなぶたいげいじゅつです。</b> <br> Noh is a traditional Japanese performing art. <br> [sound:4c-s-映画は人々の娯楽の一つです。.mp3]
Noh is a traditional Japanese performing art.	<b>映画は人々の娯楽の一つです。</b> <br> のうがくはにほんのでんとうてきなぶたいげいじゅつです。 <br><br> (娯楽) <br> [sound:4c-s-映画は人々の娯楽の一つです。.mp3]
[sound:4c-k-能楽.mp3]	<b>能楽</b> <br> のうがく <br> Noh play
能楽	<b>のうがく</b> <br> Noh play <br> [sound:4c-k-能楽.mp3]
Noh play	<b>能楽</b> <br> のうがく <br> [sound:4c-k-能楽.mp3]
[sound:4c-s-能楽は日本の伝統的な舞台芸術です。.mp3]	<b>能楽は日本の伝統的な舞台芸術です。</b> <br> おおきなじしんがおこりました。 <br><br> (能楽) <br> A big earthquake occurred.
能楽は日本の伝統的な舞台芸術です。 <br><br> (能楽)	<b>おおきなじしんがおこりました。</b> <br> A big earthquake occurred. <br> [sound:4c-s-能楽は日本の伝統的な舞台芸術です。.mp3]
A big earthquake occurred.	<b>能楽は日本の伝統的な舞台芸術です。</b> <br> おおきなじしんがおこりました。 <br><br> (能楽) <br> [sound:4c-s-能楽は日本の伝統的な舞台芸術です。.mp3]
[sound:4c-k-起こる.mp3]	<b>起こる</b> <br> おこる <br> to occur, to happen
起こる	<b>おこる</b> <br> to occur, to happen <br> [sound:4c-k-起こる.mp3]
to occur, to happen	<b>起こる</b> <br> おこる <br> [sound:4c-k-起こる.mp3]
[sound:4c-s-大きな地震が起こりました。.mp3]	<b>大きな地震が起こりました。</b> <br> もんだいをていきして、かいけつさくをぎろんしました。 <br><br> (起こる) <br> We raised the issue and discussed possible solutions.
大きな地震が起こりました。 <br><br> (起こる)	<b>もんだいをていきして、かいけつさくをぎろんしました。</b> <br> We raised the issue and discussed possible solutions. <br> [sound:4c-s-大きな地震が起こりました。.mp3]
We raised the issue and discussed possible solutions.	<b>大きな地震が起こりました。</b> <br> もんだいをていきして、かいけつさくをぎろんしました。 <br><br> (起こる) <br> [sound:4c-s-大きな地震が起こりました。.mp3]
[sound:4c-k-提起.mp3]	<b>提起</b> <br> ていき <br> bring suit, file a claim, raise a question
提起	<b>ていき</b> <br> bring suit, file a claim, raise a question <br> [sound:4c-k-提起.mp3]
bring suit, file a claim, raise a question	<b>提起</b> <br> ていき <br> [sound:4c-k-提起.mp3]
[sound:4c-s-問題を提起して、解決策を議論しました。.mp3]	<b>問題を提起して、解決策を議論しました。</b> <br> かれはやっきになってもんだいをかいけつしようとしました。 <br><br> (提起) <br> He desperately tried to solve the problem.
問題を提起して、解決策を議論しました。 <br><br> (提起)	<b>かれはやっきになってもんだいをかいけつしようとしました。</b> <br> He desperately tried to solve the problem. <br> [sound:4c-s-問題を提起して、解決策を議論しました。.mp3]
He desperately tried to solve the problem.	<b>問題を提起して、解決策を議論しました。</b> <br> かれはやっきになってもんだいをかいけつしようとしました。 <br><br> (提起) <br> [sound:4c-s-問題を提起して、解決策を議論しました。.mp3]
[sound:4c-k-躍起.mp3]	<b>躍起</b> <br> やっき <br> desperation, eagerness
躍起	<b>やっき</b> <br> desperation, eagerness <br> [sound:4c-k-躍起.mp3]
desperation, eagerness	<b>躍起</b> <br> やっき <br> [sound:4c-k-躍起.mp3]
[sound:4c-s-彼は躍起になって問題を解決しようとしました。.mp3]	<b>彼は躍起になって問題を解決しようとしました。</b> <br> けっきしゅうかいがかいさいされました。 <br><br> (躍起) <br> A rally for action was held.
彼は躍起になって問題を解決しようとしました。 <br><br> (躍起)	<b>けっきしゅうかいがかいさいされました。</b> <br> A rally for action was held. <br> [sound:4c-s-彼は躍起になって問題を解決しようとしました。.mp3]
A rally for action was held.	<b>彼は躍起になって問題を解決しようとしました。</b> <br> けっきしゅうかいがかいさいされました。 <br><br> (躍起) <br> [sound:4c-s-彼は躍起になって問題を解決しようとしました。.mp3]
[sound:4c-k-決起.mp3]	<b>決起</b> <br> けっき <br> jump to one's feet, stand up against, rising to action
決起	<b>けっき</b> <br> jump to one's feet, stand up against, rising to action <br> [sound:4c-k-決起.mp3]
jump to one's feet, stand up against, rising to action	<b>決起</b> <br> けっき <br> [sound:4c-k-決起.mp3]
[sound:4c-s-決起集会が開催されました。.mp3]	<b>決起集会が開催されました。</b> <br> すうまんのひとびとがあつまりました。 <br><br> (決起) <br> Tens of thousands of people gathered.
決起集会が開催されました。 <br><br> (決起)	<b>すうまんのひとびとがあつまりました。</b> <br> Tens of thousands of people gathered. <br> [sound:4c-s-決起集会が開催されました。.mp3]
Tens of thousands of people gathered.	<b>決起集会が開催されました。</b> <br> すうまんのひとびとがあつまりました。 <br><br> (決起) <br> [sound:4c-s-決起集会が開催されました。.mp3]
[sound:4c-k-数万.mp3]	<b>数万</b> <br> すうまん <br> tens of thousands
数万	<b>すうまん</b> <br> tens of thousands <br> [sound:4c-k-数万.mp3]
tens of thousands	<b>数万</b> <br> すうまん <br> [sound:4c-k-数万.mp3]
[sound:4c-s-数万の人々が集まりました。.mp3]	<b>数万の人々が集まりました。</b> <br> ばんりのちょうじょうをみにいきました。 <br><br> (数万) <br> I went to see the Great Wall of China.
数万の人々が集まりました。 <br><br> (数万)	<b>ばんりのちょうじょうをみにいきました。</b> <br> I went to see the Great Wall of China. <br> [sound:4c-s-数万の人々が集まりました。.mp3]
I went to see the Great Wall of China.	<b>数万の人々が集まりました。</b> <br> ばんりのちょうじょうをみにいきました。 <br><br> (数万) <br> [sound:4c-s-数万の人々が集まりました。.mp3]
[sound:4c-k-万里.mp3]	<b>万里</b> <br> ばんり <br> thousands of miles
万里	<b>ばんり</b> <br> thousands of miles <br> [sound:4c-k-万里.mp3]
thousands of miles	<b>万里</b> <br> ばんり <br> [sound:4c-k-万里.mp3]
[sound:4c-s-万里の長城を見に行きました。.mp3]	<b>万里の長城を見に行きました。</b> <br> このつーるはばんのうです。 <br><br> (万里) <br> This tool is versatile.
万里の長城を見に行きました。 <br><br> (万里)	<b>このつーるはばんのうです。</b> <br> This tool is versatile. <br> [sound:4c-s-万里の長城を見に行きました。.mp3]
This tool is versatile.	<b>万里の長城を見に行きました。</b> <br> このつーるはばんのうです。 <br><br> (万里) <br> [sound:4c-s-万里の長城を見に行きました。.mp3]
[sound:4c-k-万能.mp3]	<b>万能</b> <br> ばんのう, まんのう <br> all-purpose, utility; almighty, omnipotent
万能	<b>ばんのう, まんのう</b> <br> all-purpose, utility; almighty, omnipotent <br> [sound:4c-k-万能.mp3]
all-purpose, utility; almighty, omnipotent	<b>万能</b> <br> ばんのう, まんのう <br> [sound:4c-k-万能.mp3]
[sound:4c-s-このツールは万能です。.mp3]	<b>このツールは万能です。</b> <br> まんいちのためにそなえておくべきです。 <br><br> (万能) <br> You should be prepared just in case.
このツールは万能です。 <br><br> (万能)	<b>まんいちのためにそなえておくべきです。</b> <br> You should be prepared just in case. <br> [sound:4c-s-このツールは万能です。.mp3]
You should be prepared just in case.	<b>このツールは万能です。</b> <br> まんいちのためにそなえておくべきです。 <br><br> (万能) <br> [sound:4c-s-このツールは万能です。.mp3]
[sound:4c-k-万一.mp3]	<b>万一</b> <br> まんいち, まんいつ <br> by some chance, by some possibility, if by any chance, 10,000 to 1 odds
万一	<b>まんいち, まんいつ</b> <br> by some chance, by some possibility, if by any chance, 10,000 to 1 odds <br> [sound:4c-k-万一.mp3]
by some chance, by some possibility, if by any chance, 10,000 to 1 odds	<b>万一</b> <br> まんいち, まんいつ <br> [sound:4c-k-万一.mp3]
[sound:4c-s-万一のために備えておくべきです。.mp3]	<b>万一のために備えておくべきです。</b> <br> せいじかときぎょうのゆちゃくがもんだいしされています。 <br><br> (万一) <br> The collusion between politicians and corporations is being criticized.
万一のために備えておくべきです。 <br><br> (万一)	<b>せいじかときぎょうのゆちゃくがもんだいしされています。</b> <br> The collusion between politicians and corporations is being criticized. <br> [sound:4c-s-万一のために備えておくべきです。.mp3]
The collusion between politicians and corporations is being criticized.	<b>万一のために備えておくべきです。</b> <br> せいじかときぎょうのゆちゃくがもんだいしされています。 <br><br> (万一) <br> [sound:4c-s-万一のために備えておくべきです。.mp3]
[sound:4c-k-癒着.mp3]	<b>癒着</b> <br> ゆちゃく <br> adhesion
癒着	<b>ゆちゃく</b> <br> adhesion <br> [sound:4c-k-癒着.mp3]
adhesion	<b>癒着</b> <br> ゆちゃく <br> [sound:4c-k-癒着.mp3]
[sound:4c-s-政治家と企業の癒着が問題視されています。.mp3]	<b>政治家と企業の癒着が問題視されています。</b> <br> きょうはあたらしいじゃけっとをきました。 <br><br> (癒着) <br> I wore a new jacket today.
政治家と企業の癒着が問題視されています。 <br><br> (癒着)	<b>きょうはあたらしいじゃけっとをきました。</b> <br> I wore a new jacket today. <br> [sound:4c-s-政治家と企業の癒着が問題視されています。.mp3]
I wore a new jacket today.	<b>政治家と企業の癒着が問題視されています。</b> <br> きょうはあたらしいじゃけっとをきました。 <br><br> (癒着) <br> [sound:4c-s-政治家と企業の癒着が問題視されています。.mp3]
[sound:4c-k-着る.mp3]	<b>着る</b> <br> きる <br> to wear (in modern Japanese, from the shoulders down), to put on; to bear (guilt, etc.)
着る	<b>きる</b> <br> to wear (in modern Japanese, from the shoulders down), to put on; to bear (guilt, etc.) <br> [sound:4c-k-着る.mp3]
to wear (in modern Japanese, from the shoulders down), to put on; to bear (guilt, etc.)	<b>着る</b> <br> きる <br> [sound:4c-k-着る.mp3]
[sound:4c-s-今日は新しいジャケットを着ました。.mp3]	<b>今日は新しいジャケットを着ました。</b> <br> このぷろじぇくとはらいげつからちゃっこうします。 <br><br> (着る) <br> Construction for this project will begin next month.
今日は新しいジャケットを着ました。 <br><br> (着る)	<b>このぷろじぇくとはらいげつからちゃっこうします。</b> <br> Construction for this project will begin next month. <br> [sound:4c-s-今日は新しいジャケットを着ました。.mp3]
