[sound:k-2254_昨春.mp3]	last spring, the spring of last year<br> <b>昨春</b> <br> (さくしゅん)
[sound:s-2503_条件付きの承認が与えられた。.mp3]	(<b>条件付き</b>) 条件付きの承認が与えられた。<br> じょうけんつきのしょうにんがあたえられた。 <br>Conditional approval was granted.	
確認	[sound:k-2514_確認.mp3]<br>かくにん <br> affirmation, confirmation, validation
affirmation, confirmation, validation	<b>確認<b> <br> かくにん <br>[sound:k-2514_確認.mp3]
[sound:k-2514_確認.mp3]	affirmation, confirmation, validation<br> <b>確認</b> <br> (かくにん)
(<b>思い切って</b>) 思い切って新しいことに挑戦してみよう。	[sound:s-2514_思い切って新しいことに挑戦してみよう。.mp3] <br> おもいきってあたらしいことにちょうせんしてみよう。 <br> Let's dare to try something new.
[sound:s-2504_政府の施政方針が発表された。.mp3]	(<b>施設126. 施政</b>)	政府の施政方針が発表された。<br> せいふのせいせいほうしんがはっぴょうされた。<br> The government's policy direction has been announced.
確立	[sound:k-2515_確立.mp3]<br>かくりつ <br> establishment
establishment	<b>確立<b> <br> かくりつ <br>[sound:k-2515_確立.mp3]
[sound:k-2515_確立.mp3]	establishment<br> <b>確立</b> <br> (かくりつ)
(<b>切らす</b>) お金がなくて電気を切らすしかなかった。	[sound:s-2515_お金がなくて電気を切らすしかなかった。.mp3] <br> おかねがなくてでんきをきらすしかなかった。 <br> We had no choice but to turn off the electricity because we had no money.
[sound:s-2505_工事の施工が完了した。.mp3]	(<b>施工</b>) 工事の施工が完了した。<br> こうじのしこうがかんりょうした。 <br>The construction work has been completed.	
確定	[sound:k-2516_確定.mp3]<br>かくてい <br> decision, settlement; definition
decision, settlement; definition	<b>確定<b> <br> かくてい <br>[sound:k-2516_確定.mp3]
[sound:k-2516_確定.mp3]	decision, settlement; definition<br> <b>確定</b> <br> (かくてい)
(<b>切る</b>) 野菜を切って、スープに入れる。	[sound:s-2516_野菜を切って、スープに入れる。.mp3] <br> やさいをきって、スープにいれる。 <br> Cut the vegetables and put them in the soup.
[sound:s-2506_助けを必要とする人々に援助を施す。.mp3]	(<b>施す</b>) 助けを必要とする人々に援助を施す。<br> たすけをひつようとするひとびとにえんじょをほどこす。 <br>Provide assistance to those in need of help.	
的確	[sound:k-2517_的確.mp3]<br>てきかく, てっかく <br> precise, accurate
precise, accurate	<b>的確<b> <br> てきかく, てっかく <br>[sound:k-2517_的確.mp3]
[sound:k-2517_的確.mp3]	precise, accurate<br> <b>的確</b> <br> (てきかく, てっかく)
(<b>締め切り</b>) レポートの締め切りは来週の金曜日です。	[sound:s-2517_レポートの締め切りは来週の金曜日です。.mp3] <br> れぽーとのしめきりはらいしゅうのきんようびです。 <br> The deadline for the report is next Friday.
[sound:s-2507_防衛施設庁が国内の基地を管理している。.mp3]	(<b>防衛施設庁</b>) 防衛施設庁が国内の基地を管理している。<br> ぼうえいしせつちょうがこくないのきちをかんりしている。 <br>The Defense Facilities Administration Agency manages domestic bases.	
確率	[sound:k-2518_確率.mp3]<br>かくりつ <br> probability, likelihood, chances
probability, likelihood, chances	<b>確率<b> <br> かくりつ <br>[sound:k-2518_確率.mp3]
[sound:k-2518_確率.mp3]	probability, likelihood, chances<br> <b>確率</b> <br> (かくりつ)
(<b>切手</b>) 手紙に切手を貼り付ける。	[sound:s-2518_手紙に切手を貼り付ける。.mp3] <br> てがみにきってをはりつける。 <br> Affix a stamp to the letter.
[sound:s-2508_ドアを施錠して、外出します。.mp3]	(<b>施錠</b>) ドアを施錠して、外出します。<br> ドアをせじょうして、がいしゅつします。 <br>Lock the door and go out.	
確執	[sound:k-2519_確執.mp3]<br>かくしつ <br> discord, antagonism
discord, antagonism	<b>確執<b> <br> かくしつ <br>[sound:k-2519_確執.mp3]
[sound:k-2519_確執.mp3]	discord, antagonism<br> <b>確執</b> <br> (かくしつ)
この施設は新しい設備を備えています。 	 このしせつはあたらしいせつびをそなえています。 <br> [sound:s-2519_このしせつはあたらしいせつびをそなえています。.mp3] <br> <br>This facility is equipped with new facilities.
[sound:s-2509_家族との時間はとても大切です。.mp3]	(<b>大切</b>) 家族との時間はとても大切です。<br> かぞくとのじかんはとてもたいせつです。 <br>Time with family is very important.	
村	[sound:k-2520_村.mp3]<br>むら <br> village
village	<b>村<b> <br> むら <br>[sound:k-2520_村.mp3]
[sound:k-2520_村.mp3]	village<br> <b>村</b> <br> (むら)
(<b>実施</b>) 計画の実施には時間がかかる。	[sound:s-2520_計画の実施には時間がかかる。.mp3] <br> けいかくのじっしにはじかんがかかる。 <br> Implementing the plan will take time.
[sound:s-2510_その出来事が彼の転職の切っ掛けになった。.mp3]	(<b>切っ掛け</b>) その出来事が彼の転職の切っ掛けになった。<br> そのできごとがかれのてんしょくのきっかけになった。 <br>That incident became the trigger for his job change.	
市町村	[sound:k-2521_市町村.mp3]<br>しちょうそん <br> cities, towns and villages, municipalities
cities, towns and villages, municipalities	<b>市町村<b> <br> しちょうそん <br>[sound:k-2521_市町村.mp3]
[sound:k-2521_市町村.mp3]	cities, towns and villages, municipalities<br> <b>市町村</b> <br> (しちょうそん)
(<b>布施</b>) 寺院に布施をする。	[sound:s-2521_寺院に布施をする。.mp3] <br> じいんにふせをする。 <br> Make an offering to the temple.
[sound:s-2511_彼は一切の手助けも受けたくない。.mp3]	(<b>一切</b>) 彼は一切の手助けも受けたくない。<br> かれはいっさいのてだすけもうけたくない。 <br>He doesn't want any help at all.	
農村	[sound:k-2522_農村.mp3]<br>のうそん <br> agricultural community, farm village, rural
agricultural community, farm village, rural	<b>農村<b> <br> のうそん <br>[sound:k-2522_農村.mp3]
[sound:k-2522_農村.mp3]	agricultural community, farm village, rural<br> <b>農村</b> <br> (のうそん)
(<b>施策</b>) 新しい施策を導入する。	[sound:s-2522_新しい施策を導入する。.mp3] <br> あたらしいしさくをどうにゅうする。
[sound:s-2512_適切な処置をとる必要があります。.mp3]	(<b>適切</b>) 適切な処置をとる必要があります。<br> てきせつなしょちをとるひつようがあります。 <br>It's necessary to take appropriate measures.	
山村	[sound:k-2523_山村.mp3]<br>さんそん <br> mountain village
mountain village	<b>山村<b> <br> さんそん <br>[sound:k-2523_山村.mp3]
[sound:k-2523_山村.mp3]	mountain village<br> <b>山村</b> <br> (さんそん)
(施政) 政府の施政方針が発表された。 <br> せいふのせいせいほうしんがはっぴょうされた。 <br> [sound:s-2523_せいふのせいせいほうしんがはっぴょうされた。.mp3] <br> <br>The government's policy direction has been announced.
[sound:s-2513_彼は包丁で野菜を切りました。.mp3]	(<b>切り</b>) 彼は包丁で野菜を切りました。<br> かれはほうちょうでやさいをきりました。 <br>He cut the vegetables with a knife.	
村長	[sound:k-2524_村長.mp3]<br>そんちょう <br> village headman
village headman	<b>村長<b> <br> そんちょう <br>[sound:k-2524_村長.mp3]
[sound:k-2524_村長.mp3]	village headman<br> <b>村長</b> <br> (そんちょう)
(<b>施工</b>) 工事の施工が完了した。	[sound:s-2524_工事の施工が完了した。.mp3] <br> こうじのしこうがかんりょうした。 <br> The construction work has been completed.
[sound:s-2514_思い切って新しいことに挑戦してみよう。.mp3]	(<b>思い切って</b>) 思い切って新しいことに挑戦してみよう。<br> おもいきってあたらしいことにちょうせんしてみよう。 <br>Let's dare to try something new.	
町村	[sound:k-2525_町村.mp3]<br>ちょうそん <br> towns and villages
towns and villages	<b>町村<b> <br> ちょうそん <br>[sound:k-2525_町村.mp3]
[sound:k-2525_町村.mp3]	towns and villages<br> <b>町村</b> <br> (ちょうそん)
(<b>施す</b>) 助けを必要とする人々に援助を施す。	[sound:s-2525_助けを必要とする人々に援助を施す。.mp3] <br> たすけをひつようとするひとびとにえんじょをほどこす。 <br> Provide assistance to those in need of help.
[sound:s-2515_お金がなくて電気を切らすしかなかった。.mp3]	(<b>切らす</b>) お金がなくて電気を切らすしかなかった。<br> おかねがなくてでんきをきらすしかなかった。 <br>We had no choice but to turn off the electricity because we had no money.	
村人	[sound:k-2526_村人.mp3]<br>むらびと <br> villager
villager	<b>村人<b> <br> むらびと <br>[sound:k-2526_村人.mp3]
[sound:k-2526_村人.mp3]	villager<br> <b>村人</b> <br> (むらびと)
(<b>防衛施設庁</b>) 防衛施設庁が国内の基地を管理している。	[sound:s-2526_防衛施設庁が国内の基地を管理している。.mp3] <br> ぼうえいしせつちょうがこくないのきちをかんりしている。 <br> The Defense Facilities Administration Agency manages domestic bases.
[sound:s-2516_野菜を切って、スープに入れる。.mp3]	(<b>切る</b>) 野菜を切って、スープに入れる。<br> やさいをきって、スープにいれる。 <br>Cut the vegetables and put them in the soup.	
選手村	[sound:k-2527_選手村.mp3]<br>せんしゅむら <br> athlete's village (during Olympics)
athlete's village (during Olympics)	<b>選手村<b> <br> せんしゅむら <br>[sound:k-2527_選手村.mp3]
[sound:k-2527_選手村.mp3]	athlete's village<br> <b>during Olympics) (選手村</b> <br> (せんしゅむら)
(<b>施錠</b>) ドアを施錠して、外出します。	[sound:s-2527_ドアを施錠して、外出します。.mp3] <br> ドアをせじょうして、がいしゅつします。 <br> Lock the door and go out.
[sound:s-2517_レポートの締め切りは来週の金曜日です。.mp3]	(<b>締め切り</b>) レポートの締め切りは来週の金曜日です。<br> れぽーとのしめきりはらいしゅうのきんようびです。 <br>The deadline for the report is next Friday.	
村民	[sound:k-2528_村民.mp3]<br>そんみん <br> villager
villager	<b>村民<b> <br> そんみん <br>[sound:k-2528_村民.mp3]
[sound:k-2528_村民.mp3]	villager<br> <b>村民</b> <br> (そんみん)
(<b>大切</b>) 家族との時間はとても大切です。	[sound:s-2528_家族との時間はとても大切です。.mp3] <br> かぞくとのじかんはとてもたいせつです。 <br> Time with family is very important.
[sound:s-2518_手紙に切手を貼り付ける。.mp3]	(<b>切手</b>) 手紙に切手を貼り付ける。<br> てがみにきってをはりつける。 <br>Affix a stamp to the letter.	
村議会	[sound:k-2529_村議会.mp3]<br>そんぎかい <br> village assembly
village assembly	<b>村議会<b> <br> そんぎかい <br>[sound:k-2529_村議会.mp3]
[sound:k-2529_村議会.mp3]	village assembly<br> <b>村議会</b> <br> (そんぎかい)
(<b>切っ掛け</b>) その出来事が彼の転職の切っ掛けになった。	[sound:s-2529_その出来事が彼の転職の切っ掛けになった。.mp3] <br> そのできごとがかれのてんしょくのきっかけになった。 <br> That incident became the trigger for his job change.
[sound:s-2519_このしせつはあたらしいせつびをそなえています。.mp3]	この施設は新しい設備を備えています。<br> このしせつはあたらしいせつびをそなえています。<br> This facility is equipped with new facilities.	
前提	[sound:k-2530_前提.mp3]<br>ぜんてい <br> preamble, premise, reason, prerequisite, condition, assumption, hypothesis
preamble, premise, reason, prerequisite, condition, assumption, hypothesis	<b>前提<b> <br> ぜんてい <br>[sound:k-2530_前提.mp3]
[sound:k-2530_前提.mp3]	preamble, premise, reason, prerequisite, condition, assumption, hypothesis<br> <b>前提</b> <br> (ぜんてい)
(<b>一切</b>) 彼は一切の手助けも受けたくない。	[sound:s-2530_彼は一切の手助けも受けたくない。.mp3] <br> かれはいっさいのてだすけもうけたくない。 <br> He doesn't want any help at all.
