[sound:s-3089_家族でピクニックに行きます。.mp3]	(<b>家族</b>) 家族でピクニックに行きます。<br> かぞくでピクニックにいきます。 <br>We're going on a picnic with the family.	
study, research, investigation	<b>研究<b> <br> けんきゅう <br>[sound:k-3350_研究.mp3]
[sound:k-3350_研究.mp3]	study, research, investigation<br> <b>研究</b> <br> (けんきゅう)
(<b>開始</b>) プロジェクトの開始が遅れています。	[sound:s-3350_プロジェクトの開始が遅れています。.mp3] <br> ぷろじぇくとのかいじがおくれています。 <br> The start of the project is delayed.
[sound:s-3340_この大学は国立の研究機関と提携しています。.mp3]	(<b>国立</b>) この大学は国立の研究機関と提携しています。<br> このだいがくはこくりつのけんきゅうきかんとていけいしています。 <br>This university collaborates with national research institutions.	
研究所	[sound:k-3351_研究所.mp3]<br>けんきゅうしょ, けんきゅうじょ <br> research establishment (institute, laboratory, etc.)
research establishment (institute, laboratory, etc.)	<b>研究所<b> <br> けんきゅうしょ, けんきゅうじょ <br>[sound:k-3351_研究所.mp3]
[sound:k-3351_研究所.mp3]	research establishment<br> <b>institute, laboratory, etc.) (研究所</b> <br> (けんきゅうしょ, けんきゅうじょ)
(<b>開放</b>) 公園は一般に開放されています。	[sound:s-3351_公園は一般に開放されています。.mp3] <br> こうえんはいっぱんにかいほうされています。 <br> The park is generally open to the public.
[sound:s-3341_新しい法律が成立しました。.mp3]	(<b>成立</b>) 新しい法律が成立しました。<br> あたらしいほうりつがせいりつしました。 <br>The new law has been enacted.	
研修	[sound:k-3352_研修.mp3]<br>けんしゅう <br> training (esp. in-service), induction course
training (esp. in-service), induction course	<b>研修<b> <br> けんしゅう <br>[sound:k-3352_研修.mp3]
[sound:k-3352_研修.mp3]	training<br> <b>esp. in-service), induction course (研修</b> <br> (けんしゅう)
(<b>公開</b>) 新しい映画は来週公開されます。	[sound:s-3352_新しい映画は来週公開されます。.mp3] <br> あたらしいえいがはらいしゅうこうかいされます。 <br> The new movie will be released next week.
[sound:s-3342_両者の間で意見の対立があります。.mp3]	(<b>対立</b>) 両者の間で意見の対立があります。<br> りょうしゃのあいだでいけんのたいりつがあります。 <br>There is a disagreement between both parties.	
研究者	[sound:k-3353_研究者.mp3]<br>けんきゅうしゃ <br> researcher
researcher	<b>研究者<b> <br> けんきゅうしゃ <br>[sound:k-3353_研究者.mp3]
[sound:k-3353_研究者.mp3]	researcher<br> <b>研究者</b> <br> (けんきゅうしゃ)
(<b>展開</b>) この計画は順調に展開しています。	[sound:s-3353_この計画は順調に展開しています。.mp3] <br> このけいかくはじゅんちょうにてんかいしています。 <br> This plan is progressing smoothly.
[sound:s-3343_この国は独立国です。.mp3]	(<b>独立</b>) この国は独立国です。<br> このくにはどくりつこくです。 <br>This country is an independent nation.	
研究員	[sound:k-3354_研究員.mp3]<br>けんきゅういん <br> researcher
researcher	<b>研究員<b> <br> けんきゅういん <br>[sound:k-3354_研究員.mp3]
[sound:k-3354_研究員.mp3]	researcher<br> <b>研究員</b> <br> (けんきゅういん)
(<b>開幕</b>) 今年の野球シーズンの開幕は来週です。	[sound:s-3354_今年の野球シーズンの開幕は来週です。.mp3] <br> ことしのやきゅうしーずんのかいまくはらいしゅうです。 <br> The opening of this year's baseball season is next week.
[sound:s-3344_彼は私立大学で勉強しています。.mp3]	(<b>私立</b>) 彼は私立大学で勉強しています。<br> かれはしりつだいがくでべんきょうしています。 <br>He is studying at a private university.	
研究室	[sound:k-3355_研究室.mp3]<br>けんきゅうしつ <br> laboratory; seminar room; professor's office
laboratory; seminar room; professor's office	<b>研究室<b> <br> けんきゅうしつ <br>[sound:k-3355_研究室.mp3]
[sound:k-3355_研究室.mp3]	laboratory; seminar room; professor's office<br> <b>研究室</b> <br> (けんきゅうしつ)
(<b>再開</b>) 交渉は再開される予定です。	[sound:s-3355_交渉は再開される予定です。.mp3] <br> こうしょうはさいかいされるよていです。 <br> Negotiations are scheduled to resume.
[sound:s-3345_その会社は昨年設立されました。.mp3]	(<b>設立</b>) その会社は昨年設立されました。<br> そのかいしゃはさくねんせつりつされました。 <br>The company was established last year.	
研究家	[sound:k-3356_研究家.mp3]<br>けんきゅうか <br> researcher, student (of)
researcher, student (of)	<b>研究家<b> <br> けんきゅうか <br>[sound:k-3356_研究家.mp3]
[sound:k-3356_研究家.mp3]	researcher, student<br> <b>of) (研究家</b> <br> (けんきゅうか)
(<b>開き</b>) 式の開きには多くの人々が参加しました。	[sound:s-3356_式の開きには多くの人々が参加しました。.mp3] <br> しきのひらきにはおおくのひとびとがさんかしました。 <br> Many people attended the opening ceremony.
[sound:s-3346_この地域には公立と私立の学校が並立しています。.mp3]	(<b>並立</b>) この地域には公立と私立の学校が並立しています。<br> このちいきにはこうりつとしりつのがっこうがへいりつしています。 <br>In this area, public and private schools coexist.	
経済研究所	[sound:k-3357_経済研究所.mp3]<br>けいざいけんきゅうしょ <br> economics research centre, economics research center
economics research centre, economics research center	<b>経済研究所<b> <br> けいざいけんきゅうしょ <br>[sound:k-3357_経済研究所.mp3]
[sound:k-3357_経済研究所.mp3]	economics research centre, economics research center<br> <b>経済研究所</b> <br> (けいざいけんきゅうしょ)
(<b>開会</b>) 大会の開会式は明日行われます。	[sound:s-3357_大会の開会式は明日行われます。.mp3] <br> たいかいのかいかいしきはあしたおこなわれます。 <br> The opening ceremony of the conference will be held tomorrow.
[sound:s-3347_その組織は良好な関係を確立しました。.mp3]	(<b>確立</b>) その組織は良好な関係を確立しました。<br> そのそしきはりょうこうなかんけいをかくりつしました。 <br>The organization established good relations.	
研究官	[sound:k-3358_研究官.mp3]<br>けんきゅうかん <br> research officer
research officer	<b>研究官<b> <br> けんきゅうかん <br>[sound:k-3358_研究官.mp3]
[sound:k-3358_研究官.mp3]	research officer<br> <b>研究官</b> <br> (けんきゅうかん)
(<b>手</b>) 彼は手を振って挨拶しました。	[sound:s-3358_彼は手を振って挨拶しました。.mp3] <br> かれはてをふってあいさつしました。 <br> He waved his hand and greeted.
[sound:s-3348_新製品の開発が進行中です。.mp3]	(<b>開発</b>) 新製品の開発が進行中です。<br> しんせいひんのかいはつがしんこうちゅうです。 <br>Development of the new product is underway.	
国立予防衛生研究所	[sound:k-3359_国立予防衛生研究所.mp3]<br>こくりつよぼうえいせいけんきゅうしょ <br> National Institute of Health
National Institute of Health	<b>国立予防衛生研究所<b> <br> こくりつよぼうえいせいけんきゅうしょ <br>[sound:k-3359_国立予防衛生研究所.mp3]
[sound:k-3359_国立予防衛生研究所.mp3]	National Institute of Health<br> <b>国立予防衛生研究所</b> <br> (こくりつよぼうえいせいけんきゅうしょ)
(<b>選手</b>) 彼は優れた選手です。	[sound:s-3359_彼は優れた選手です。.mp3] <br> かれはすぐれたせんしゅです。 <br> He is an excellent athlete.
[sound:s-3349_そのイベントは来週開催されます。.mp3]	(<b>開催</b>) そのイベントは来週開催されます。<br> そのいべんとはらいしゅうかいさいされます。 <br>The event will be held next week.	
収入	[sound:k-3360_収入.mp3]<br>しゅうにゅう <br> income, receipts, revenue
income, receipts, revenue	<b>収入<b> <br> しゅうにゅう <br>[sound:k-3360_収入.mp3]
[sound:k-3360_収入.mp3]	income, receipts, revenue<br> <b>収入</b> <br> (しゅうにゅう)
(<b>選手権</b>) そのチームは全国大会で優勝しました。	[sound:s-3360_そのチームは全国大会で優勝しました。.mp3] <br> そのちーむはぜんこくたいかいでゆうしょうしました。 <br> The team won the national championship.
[sound:s-3350_プロジェクトの開始が遅れています。.mp3]	(<b>開始</b>) プロジェクトの開始が遅れています。<br> ぷろじぇくとのかいじがおくれています。 <br>The start of the project is delayed.	
収支	[sound:k-3361_収支.mp3]<br>しゅうし <br> income and expenditure
income and expenditure	<b>収支<b> <br> しゅうし <br>[sound:k-3361_収支.mp3]
[sound:k-3361_収支.mp3]	income and expenditure<br> <b>収支</b> <br> (しゅうし)
(<b>相手</b>) 彼は強力な相手です。	[sound:s-3361_彼は強力な相手です。.mp3] <br> かれはきょうりょくなあいてです。 <br> He is a formidable opponent.
[sound:s-3351_公園は一般に開放されています。.mp3]	(<b>開放</b>) 公園は一般に開放されています。<br> こうえんはいっぱんにかいほうされています。 <br>The park is generally open to the public.	
回収	[sound:k-3362_回収.mp3]<br>かいしゅう <br> collection, recovery
collection, recovery	<b>回収<b> <br> かいしゅう <br>[sound:k-3362_回収.mp3]
[sound:k-3362_回収.mp3]	collection, recovery<br> <b>回収</b> <br> (かいしゅう)
(<b>大手</b>) その企業は業界の大手企業です。	[sound:s-3362_その企業は業界の大手企業です。.mp3] <br> そのききょうはぎょうかいのおおてききょうぎょうです。 <br> The company is a major player in the industry.
[sound:s-3352_新しい映画は来週公開されます。.mp3]	(<b>公開</b>) 新しい映画は来週公開されます。<br> あたらしいえいがはらいしゅうこうかいされます。 <br>The new movie will be released next week.	
収益	[sound:k-3363_収益.mp3]<br>しゅうえき <br> earnings, proceeds, returns
earnings, proceeds, returns	<b>収益<b> <br> しゅうえき <br>[sound:k-3363_収益.mp3]
[sound:k-3363_収益.mp3]	earnings, proceeds, returns<br> <b>収益</b> <br> (しゅうえき)
(<b>投手</b>) 彼は野球の投手です。	[sound:s-3363_彼は野球の投手です。.mp3] <br> かれはやきゅうのとうしゅです。 <br> He is a baseball pitcher.
[sound:s-3353_この計画は順調に展開しています。.mp3]	(<b>展開</b>) この計画は順調に展開しています。<br> このけいかくはじゅんちょうにてんかいしています。 <br>This plan is progressing smoothly.	
収賄	[sound:k-3364_収賄.mp3]<br>しゅうわい <br> accepting bribes, corruption, graft
accepting bribes, corruption, graft	<b>収賄<b> <br> しゅうわい <br>[sound:k-3364_収賄.mp3]
[sound:k-3364_収賄.mp3]	accepting bribes, corruption, graft<br> <b>収賄</b> <br> (しゅうわい)
(<b>若手</b>) そのチームは若手選手を育てています。	[sound:s-3364_そのチームは若手選手を育てています。.mp3] <br> そのちーむはわかてせんしゅをそだてています。 <br> The team is nurturing young players.
[sound:s-3354_今年の野球シーズンの開幕は来週です。.mp3]	(<b>開幕</b>) 今年の野球シーズンの開幕は来週です。<br> ことしのやきゅうしーずんのかいまくはらいしゅうです。 <br>The opening of this year's baseball season is next week.	
税収	[sound:k-3365_税収.mp3]<br>ぜいしゅう <br> tax yields, revenue
tax yields, revenue	<b>税収<b> <br> ぜいしゅう <br>[sound:k-3365_税収.mp3]
[sound:k-3365_税収.mp3]	tax yields, revenue<br> <b>税収</b> <br> (ぜいしゅう)
(<b>手続き</b>) 入国手続きに時間がかかります。	[sound:s-3365_入国手続きに時間がかかります。.mp3] <br> にゅうこくてつつきにじかんがかかります。 <br> Immigration procedures take time.
[sound:s-3355_交渉は再開される予定です。.mp3]	(<b>再開</b>) 交渉は再開される予定です。<br> こうしょうはさいかいされるよていです。 <br>Negotiations are scheduled to resume.	
