[sound:k-3663_宮殿.mp3]	palace<br> <b>宮殿</b> <br> (きゅうでん)
Meteorological Agency	<b>気象庁<b> <br> きしょうちょう <br>[sound:k-3934_気象庁.mp3]
[sound:k-3934_気象庁.mp3]	Meteorological Agency<br> <b>気象庁</b> <br> (きしょうちょう)
気象	[sound:k-3935_気象.mp3]<br>きしょう <br> weather, climate
weather, climate	<b>気象<b> <br> きしょう <br>[sound:k-3935_気象.mp3]
[sound:k-3935_気象.mp3]	weather, climate<br> <b>気象</b> <br> (きしょう)
象徴	[sound:k-3936_象徴.mp3]<br>しょうちょう <br> symbol
symbol	<b>象徴<b> <br> しょうちょう <br>[sound:k-3936_象徴.mp3]
[sound:k-3936_象徴.mp3]	symbol<br> <b>象徴</b> <br> (しょうちょう)
印象的	[sound:k-3937_印象的.mp3]<br>いんしょうてき <br> impressive
impressive	<b>印象的<b> <br> いんしょうてき <br>[sound:k-3937_印象的.mp3]
[sound:k-3937_印象的.mp3]	impressive<br> <b>印象的</b> <br> (いんしょうてき)
象徴的	[sound:k-3938_象徴的.mp3]<br>しょうちょうてき <br> symbolic
symbolic	<b>象徴的<b> <br> しょうちょうてき <br>[sound:k-3938_象徴的.mp3]
[sound:k-3938_象徴的.mp3]	symbolic<br> <b>象徴的</b> <br> (しょうちょうてき)
抽象	[sound:k-3939_抽象.mp3]<br>ちゅうしょう <br> abstract
abstract	<b>抽象<b> <br> ちゅうしょう <br>[sound:k-3939_抽象.mp3]
[sound:k-3939_抽象.mp3]	abstract<br> <b>抽象</b> <br> (ちゅうしょう)
銀	[sound:k-3940_銀.mp3]<br>ぎん, しろがね <br> silver, silver coin, silver paint; silver general (shogi)
silver, silver coin, silver paint; silver general (shogi)	<b>銀<b> <br> ぎん, しろがね <br>[sound:k-3940_銀.mp3]
[sound:k-3940_銀.mp3]	silver, silver coin, silver paint; silver general<br> <b>shogi) (銀</b> <br> (ぎん, しろがね)
銀行	[sound:k-3941_銀行.mp3]<br>ぎんこう <br> bank
bank	<b>銀行<b> <br> ぎんこう <br>[sound:k-3941_銀行.mp3]
[sound:k-3941_銀行.mp3]	bank<br> <b>銀行</b> <br> (ぎんこう)
銀座	[sound:k-3942_銀座.mp3]<br>ぎんざ <br> Ginza (shopping district in Tokyo); (Edo period) silver mint
Ginza (shopping district in Tokyo); (Edo period) silver mint	<b>銀座<b> <br> ぎんざ <br>[sound:k-3942_銀座.mp3]
[sound:k-3942_銀座.mp3]	Ginza<br> <b>shopping district in Tokyo); (Edo period) silver mint (銀座</b> <br> (ぎんざ)
住友銀行	[sound:k-3943_住友銀行.mp3]<br>すみともぎんこう <br> Sumitomo Bank
Sumitomo Bank	<b>住友銀行<b> <br> すみともぎんこう <br>[sound:k-3943_住友銀行.mp3]
[sound:k-3943_住友銀行.mp3]	Sumitomo Bank<br> <b>住友銀行</b> <br> (すみともぎんこう)
日本銀行	[sound:k-3944_日本銀行.mp3]<br>にっぽんぎんこう, にほんぎんこう <br> Bank of Japan, BOJ, BoJ
Bank of Japan, BOJ, BoJ	<b>日本銀行<b> <br> にっぽんぎんこう, にほんぎんこう <br>[sound:k-3944_日本銀行.mp3]
[sound:k-3944_日本銀行.mp3]	Bank of Japan, BOJ, BoJ<br> <b>日本銀行</b> <br> (にっぽんぎんこう, にほんぎんこう)
世界銀行	[sound:k-3945_世界銀行.mp3]<br>せかいぎんこう <br> World Bank
World Bank	<b>世界銀行<b> <br> せかいぎんこう <br>[sound:k-3945_世界銀行.mp3]
[sound:k-3945_世界銀行.mp3]	World Bank<br> <b>世界銀行</b> <br> (せかいぎんこう)
水銀	[sound:k-3946_水銀.mp3]<br>すいぎん <br> mercury
mercury	<b>水銀<b> <br> すいぎん <br>[sound:k-3946_水銀.mp3]
[sound:k-3946_水銀.mp3]	mercury<br> <b>水銀</b> <br> (すいぎん)
世銀	[sound:k-3947_世銀.mp3]<br>せぎん <br> World Bank
World Bank	<b>世銀<b> <br> せぎん <br>[sound:k-3947_世銀.mp3]
[sound:k-3947_世銀.mp3]	World Bank<br> <b>世銀</b> <br> (せぎん)
銀河	[sound:k-3948_銀河.mp3]<br>ぎんが <br> Milky Way; galaxy
Milky Way; galaxy	<b>銀河<b> <br> ぎんが <br>[sound:k-3948_銀河.mp3]
[sound:k-3948_銀河.mp3]	Milky Way; galaxy<br> <b>銀河</b> <br> (ぎんが)
輸銀	[sound:k-3949_輸銀.mp3]<br>ゆぎん <br> import-export bank
import-export bank	<b>輸銀<b> <br> ゆぎん <br>[sound:k-3949_輸銀.mp3]
[sound:k-3949_輸銀.mp3]	import-export bank<br> <b>輸銀</b> <br> (ゆぎん)
地域	[sound:k-3950_地域.mp3]<br>ちいき <br> area, region
area, region	<b>地域<b> <br> ちいき <br>[sound:k-3950_地域.mp3]
[sound:k-3950_地域.mp3]	area, region<br> <b>地域</b> <br> (ちいき)
区域	[sound:k-3951_区域.mp3]<br>くいき <br> limits, boundary, domain, zone, sphere, territory; area (e.g. in programming languages)
limits, boundary, domain, zone, sphere, territory; area (e.g. in programming languages)	<b>区域<b> <br> くいき <br>[sound:k-3951_区域.mp3]
[sound:k-3951_区域.mp3]	limits, boundary, domain, zone, sphere, territory; area<br> <b>e.g. in programming languages) (区域</b> <br> (くいき)
域内	[sound:k-3952_域内.mp3]<br>いきない <br> inside the area
inside the area	<b>域内<b> <br> いきない <br>[sound:k-3952_域内.mp3]
[sound:k-3952_域内.mp3]	inside the area<br> <b>域内</b> <br> (いきない)
海域	[sound:k-3953_海域.mp3]<br>かいいき <br> area of ocean
area of ocean	<b>海域<b> <br> かいいき <br>[sound:k-3953_海域.mp3]
[sound:k-3953_海域.mp3]	area of ocean<br> <b>海域</b> <br> (かいいき)
全域	[sound:k-3954_全域.mp3]<br>ぜんいき <br> the whole area
the whole area	<b>全域<b> <br> ぜんいき <br>[sound:k-3954_全域.mp3]
[sound:k-3954_全域.mp3]	the whole area<br> <b>全域</b> <br> (ぜんいき)
領域	[sound:k-3955_領域.mp3]<br>りょういき <br> area, domain, territory, field, range, region, regime
area, domain, territory, field, range, region, regime	<b>領域<b> <br> りょういき <br>[sound:k-3955_領域.mp3]
[sound:k-3955_領域.mp3]	area, domain, territory, field, range, region, regime<br> <b>領域</b> <br> (りょういき)
域外	[sound:k-3956_域外.mp3]<br>いきがい <br> outside the area
outside the area	<b>域外<b> <br> いきがい <br>[sound:k-3956_域外.mp3]
[sound:k-3956_域外.mp3]	outside the area<br> <b>域外</b> <br> (いきがい)
流域	[sound:k-3957_流域.mp3]<br>りゅういき <br> (river) basin
(river) basin	<b>流域<b> <br> りゅういき <br>[sound:k-3957_流域.mp3]
[sound:k-3957_流域.mp3]	(river) basin<br> <b>流域</b> <br> (りゅういき)
広域	[sound:k-3958_広域.mp3]<br>こういき <br> wide area
wide area	<b>広域<b> <br> こういき <br>[sound:k-3958_広域.mp3]
[sound:k-3958_広域.mp3]	wide area<br> <b>広域</b> <br> (こういき)
地域社会	[sound:k-3959_地域社会.mp3]<br>ちいきしゃかい <br> regional community
regional community	<b>地域社会<b> <br> ちいきしゃかい <br>[sound:k-3959_地域社会.mp3]
[sound:k-3959_地域社会.mp3]	regional community<br> <b>地域社会</b> <br> (ちいきしゃかい)
援助	[sound:k-3960_援助.mp3]<br>えんじょ <br> assistance, aid, support
assistance, aid, support	<b>援助<b> <br> えんじょ <br>[sound:k-3960_援助.mp3]
[sound:k-3960_援助.mp3]	assistance, aid, support<br> <b>援助</b> <br> (えんじょ)
補助	[sound:k-3961_補助.mp3]<br>ほじょ <br> assistance, support, aid, auxiliary
assistance, support, aid, auxiliary	<b>補助<b> <br> ほじょ <br>[sound:k-3961_補助.mp3]
[sound:k-3961_補助.mp3]	assistance, support, aid, auxiliary<br> <b>補助</b> <br> (ほじょ)
助教授	[sound:k-3962_助教授.mp3]<br>じょきょうじゅ <br> assistant professor
assistant professor	<b>助教授<b> <br> じょきょうじゅ <br>[sound:k-3962_助教授.mp3]
[sound:k-3962_助教授.mp3]	assistant professor<br> <b>助教授</b> <br> (じょきょうじゅ)
助成	[sound:k-3963_助成.mp3]<br>じょせい <br> assisting, assistance, fostering, aiding
assisting, assistance, fostering, aiding	<b>助成<b> <br> じょせい <br>[sound:k-3963_助成.mp3]
[sound:k-3963_助成.mp3]	assisting, assistance, fostering, aiding<br> <b>助成</b> <br> (じょせい)
助手	[sound:k-3964_助手.mp3]<br>じょしゅ, すけて <br> helper, helpmeet, assistant, tutor
helper, helpmeet, assistant, tutor	<b>助手<b> <br> じょしゅ, すけて <br>[sound:k-3964_助手.mp3]
[sound:k-3964_助手.mp3]	helper, helpmeet, assistant, tutor<br> <b>助手</b> <br> (じょしゅ, すけて)
助け	[sound:k-3965_助け.mp3]<br>たすけ <br> assistance
assistance	<b>助け<b> <br> たすけ <br>[sound:k-3965_助け.mp3]
[sound:k-3965_助け.mp3]	assistance<br> <b>助け</b> <br> (たすけ)
救助	[sound:k-3966_救助.mp3]<br>きゅうじょ <br> relief, aid, rescue
relief, aid, rescue	<b>救助<b> <br> きゅうじょ <br>[sound:k-3966_救助.mp3]
[sound:k-3966_救助.mp3]	relief, aid, rescue<br> <b>救助</b> <br> (きゅうじょ)
助役	[sound:k-3967_助役.mp3]<br>じょやく <br> assistant official
assistant official	<b>助役<b> <br> じょやく <br>[sound:k-3967_助役.mp3]
[sound:k-3967_助役.mp3]	assistant official<br> <b>助役</b> <br> (じょやく)
助言	[sound:k-3968_助言.mp3]<br>じょげん, じょごん <br> advice, suggestion
advice, suggestion	<b>助言<b> <br> じょげん, じょごん <br>[sound:k-3968_助言.mp3]
[sound:k-3968_助言.mp3]	advice, suggestion<br> <b>助言</b> <br> (じょげん, じょごん)
自助	[sound:k-3969_自助.mp3]<br>じじょ <br> self-help
self-help	<b>自助<b> <br> じじょ <br>[sound:k-3969_自助.mp3]
[sound:k-3969_自助.mp3]	self-help<br> <b>自助</b> <br> (じじょ)
労働	[sound:k-3970_労働.mp3]<br>ろうどう <br> manual labor, manual labour, toil, work
manual labor, manual labour, toil, work	<b>労働<b> <br> ろうどう <br>[sound:k-3970_労働.mp3]
[sound:k-3970_労働.mp3]	manual labor, manual labour, toil, work<br> <b>労働</b> <br> (ろうどう)
労働者	[sound:k-3971_労働者.mp3]<br>ろうどうしゃ <br> laborer (labourer), blue-collar worker
laborer (labourer), blue-collar worker	<b>労働者<b> <br> ろうどうしゃ <br>[sound:k-3971_労働者.mp3]
[sound:k-3971_労働者.mp3]	laborer<br> <b>labourer), blue-collar worker (労働者</b> <br> (ろうどうしゃ)
労組	[sound:k-3972_労組.mp3]<br>ろうそ, ろうくみ <br> labor union, labour union
labor union, labour union	<b>労組<b> <br> ろうそ, ろうくみ <br>[sound:k-3972_労組.mp3]
[sound:k-3972_労組.mp3]	labor union, labour union<br> <b>労組</b> <br> (ろうそ, ろうくみ)
労働省	[sound:k-3973_労働省.mp3]<br>ろうどうしょう <br> Ministry of Labour (now Ministry of Health, Labour and Welfare)
Ministry of Labour (now Ministry of Health, Labour and Welfare)	<b>労働省<b> <br> ろうどうしょう <br>[sound:k-3973_労働省.mp3]
[sound:k-3973_労働省.mp3]	Ministry of Labour<br> <b>now Ministry of Health, Labour and Welfare) (労働省</b> <br> (ろうどうしょう)
労働党	[sound:k-3974_労働党.mp3]<br>ろうどうとう <br> Labour Party, Labor Party
Labour Party, Labor Party	<b>労働党<b> <br> ろうどうとう <br>[sound:k-3974_労働党.mp3]
[sound:k-3974_労働党.mp3]	Labour Party, Labor Party<br> <b>労働党</b> <br> (ろうどうとう)
苦労	[sound:k-3975_苦労.mp3]<br>くろう <br> troubles, hardships
troubles, hardships	<b>苦労<b> <br> くろう <br>[sound:k-3975_苦労.mp3]
[sound:k-3975_苦労.mp3]	troubles, hardships<br> <b>苦労</b> <br> (くろう)
労使	[sound:k-3976_労使.mp3]<br>ろうし <br> labour and management, labor and management
labour and management, labor and management	<b>労使<b> <br> ろうし <br>[sound:k-3976_労使.mp3]
[sound:k-3976_労使.mp3]	labour and management, labor and management<br> <b>労使</b> <br> (ろうし)
労働組合	[sound:k-3977_労働組合.mp3]<br>ろうどうくみあい <br> labor union, labour union
labor union, labour union	<b>労働組合<b> <br> ろうどうくみあい <br>[sound:k-3977_労働組合.mp3]
[sound:k-3977_労働組合.mp3]	labor union, labour union<br> <b>労働組合</b> <br> (ろうどうくみあい)
疲労	[sound:k-3978_疲労.mp3]<br>ひろう <br> fatigue, weariness
fatigue, weariness	<b>疲労<b> <br> ひろう <br>[sound:k-3978_疲労.mp3]
[sound:k-3978_疲労.mp3]	fatigue, weariness<br> <b>疲労</b> <br> (ひろう)
労連	[sound:k-3979_労連.mp3]<br>ろうれん <br> labour union, labor union
labour union, labor union	<b>労連<b> <br> ろうれん <br>[sound:k-3979_労連.mp3]
[sound:k-3979_労連.mp3]	labour union, labor union<br> <b>労連</b> <br> (ろうれん)
例	[sound:k-3980_例.mp3]<br>れい, ためし <br> custom, practice, habit, usual; said, aforementioned; instance, example, case, illustration, usage; precedent; annual
custom, practice, habit, usual; said, aforementioned; instance, example, case, illustration, usage; precedent; annual	<b>例<b> <br> れい, ためし <br>[sound:k-3980_例.mp3]
[sound:k-3980_例.mp3]	custom, practice, habit, usual; said, aforementioned; instance, example, case, illustration, usage; precedent; annual<br> <b>例</b> <br> (れい, ためし)
例えば	[sound:k-3981_例えば.mp3]<br>たとえば <br> for example, e.g.
for example, e.g.	<b>例えば<b> <br> たとえば <br>[sound:k-3981_例えば.mp3]
[sound:k-3981_例えば.mp3]	for example, e.g.<br> <b>例えば</b> <br> (たとえば)
比例	[sound:k-3982_比例.mp3]<br>ひれい <br> proportion
proportion	<b>比例<b> <br> ひれい <br>[sound:k-3982_比例.mp3]
[sound:k-3982_比例.mp3]	proportion<br> <b>比例</b> <br> (ひれい)
異例	[sound:k-3983_異例.mp3]<br>いれい <br> exception, illness, singular, exceptional, unprecedented
exception, illness, singular, exceptional, unprecedented	<b>異例<b> <br> いれい <br>[sound:k-3983_異例.mp3]
[sound:k-3983_異例.mp3]	exception, illness, singular, exceptional, unprecedented<br> <b>異例</b> <br> (いれい)
特例	[sound:k-3984_特例.mp3]<br>とくれい <br> special case, exception
special case, exception	<b>特例<b> <br> とくれい <br>[sound:k-3984_特例.mp3]
[sound:k-3984_特例.mp3]	special case, exception<br> <b>特例</b> <br> (とくれい)
例外	[sound:k-3985_例外.mp3]<br>れいがい <br> exception
exception	<b>例外<b> <br> れいがい <br>[sound:k-3985_例外.mp3]
[sound:k-3985_例外.mp3]	exception<br> <b>例外</b> <br> (れいがい)
例年	[sound:k-3986_例年.mp3]<br>れいねん <br> average (normal, ordinary) year, every year, annually
average (normal, ordinary) year, every year, annually	<b>例年<b> <br> れいねん <br>[sound:k-3986_例年.mp3]
[sound:k-3986_例年.mp3]	average<br> <b>normal, ordinary) year, every year, annually (例年</b> <br> (れいねん)
条例	[sound:k-3987_条例.mp3]<br>じょうれい <br> regulations, rules, laws, acts, ordinance
regulations, rules, laws, acts, ordinance	<b>条例<b> <br> じょうれい <br>[sound:k-3987_条例.mp3]
[sound:k-3987_条例.mp3]	regulations, rules, laws, acts, ordinance<br> <b>条例</b> <br> (じょうれい)
定例	[sound:k-3988_定例.mp3]<br>ていれい <br> regularity
regularity	<b>定例<b> <br> ていれい <br>[sound:k-3988_定例.mp3]
[sound:k-3988_定例.mp3]	regularity<br> <b>定例</b> <br> (ていれい)
事例	[sound:k-3989_事例.mp3]<br>じれい <br> example, precedent
example, precedent	<b>事例<b> <br> じれい <br>[sound:k-3989_事例.mp3]
[sound:k-3989_事例.mp3]	example, precedent<br> <b>事例</b> <br> (じれい)
自衛隊	[sound:k-3990_自衛隊.mp3]<br>じえいたい <br> self-defence force, self-defense force; Japan Self-Defence Force, JSDF
self-defence force, self-defense force; Japan Self-Defence Force, JSDF	<b>自衛隊<b> <br> じえいたい <br>[sound:k-3990_自衛隊.mp3]
[sound:k-3990_自衛隊.mp3]	self-defence force, self-defense force; Japan Self-Defence Force, JSDF<br> <b>自衛隊</b> <br> (じえいたい)
防衛	[sound:k-3991_防衛.mp3]<br>ぼうえい <br> defense, defence, protection, self-defense, self-defence
defense, defence, protection, self-defense, self-defence	<b>防衛<b> <br> ぼうえい <br>[sound:k-3991_防衛.mp3]
[sound:k-3991_防衛.mp3]	defense, defence, protection, self-defense, self-defence<br> <b>防衛</b> <br> (ぼうえい)
