[sound:s-0281_彼は私の前に立っています。.mp3]	<b>前</b> <br> 彼は私の前に立っています。<br> かれはわたしのまえにたっています <br>He is standing in front of me.
<b>大学院</b> <br> 彼女は大学院で修士号を取得しました。	[sound:s-0547_彼女は大学院で修士号を取得しました。.mp3] <br> かのじょはだいがくいんでしゅうしごうをしゅとくしました。 <br>She obtained a master's degree at graduate school.
[sound:s-0547_彼女は大学院で修士号を取得しました。.mp3]	<b>大学院</b> <br> 彼女は大学院で修士号を取得しました。<br> かのじょはだいがくいんでしゅうしごうをしゅとくしました <br>She obtained a master's degree at graduate school.
千九百年代	[sound:k-0548_千九百年代.mp3]<br>せんきゅうひゃくねんだい <br> the 1900s
the 1900s	<b>千九百年代<b> <br> せんきゅうひゃくねんだい <br>[sound:k-0548_千九百年代.mp3]
[sound:k-0548_千九百年代.mp3]	the 1900s<br> <b>千九百年代</b> <br> (せんきゅうひゃくねんだい)
<b>入院</b> <br> 父は入院しています。	[sound:s-0548_父は入院しています。.mp3] <br> ちちはにゅういんしています。 <br>My father is in the hospital.
[sound:s-0548_父は入院しています。.mp3]	<b>入院</b> <br> 父は入院しています。<br> ちちはにゅういんしています <br>My father is in the hospital.
九重	[sound:k-0549_九重.mp3]<br>ここのえ <br> ninefold, imperial palace, the Court
ninefold, imperial palace, the Court	<b>九重<b> <br> ここのえ <br>[sound:k-0549_九重.mp3]
[sound:k-0549_九重.mp3]	ninefold, imperial palace, the Court<br> <b>九重</b> <br> (ここのえ)
<b>両院</b> <br> この法案は両院で可決されました。	[sound:s-0549_この法案は両院で可決されました。.mp3] <br> このほうあんはりょういんでかけつされました。 <br>This bill was passed by both houses.    
[sound:s-0549_この法案は両院で可決されました。.mp3]	<b>両院</b> <br> この法案は両院で可決されました。<br> このほうあんはりょういんでかけつされました <br>This bill was passed by both houses.    
入り	[sound:k-0550_入り.mp3]<br>いり <br> entering; setting (of the sun); containing, content, audience; income; beginning
entering; setting (of the sun); containing, content, audience; income; beginning	<b>入り<b> <br> いり <br>[sound:k-0550_入り.mp3]
[sound:k-0550_入り.mp3]	entering; setting<br> <b>of the sun); containing, content, audience; income; beginning (入り</b> <br> (いり)
その病院の院長は有名です。	そのびょういんのいんちょうはゆうめいです。	s-0550_そのびょういんのいんちょうはゆうめいです。.mp3
[sound:s-0550_そのびょういんのいんちょうはゆうめいです。.mp3]	その病院の院長は有名です。そのびょういんのいんちょうはゆうめいです。The director of that hospital is famous.	
輸入	[sound:k-0551_輸入.mp3]<br>ゆにゅう, しゅにゅう <br> importation, import, introduction
importation, import, introduction	<b>輸入<b> <br> ゆにゅう, しゅにゅう <br>[sound:k-0551_輸入.mp3]
[sound:k-0551_輸入.mp3]	importation, import, introduction<br> <b>輸入</b> <br> (ゆにゅう, しゅにゅう)
その店の店員はみんな女性です。	そのみせのてんいんはみんなおんなせいです。	s-0551_そのみせのてんいんはみんなおんなせいです。.mp3
[sound:s-0551_そのみせのてんいんはみんなおんなせいです。.mp3]	その店の店員はみんな女性です。そのみせのてんいんはみんなおんなせいです。All the staff in that store are women.	
購入	[sound:k-0552_購入.mp3]<br>こうにゅう <br> purchase, buy
purchase, buy	<b>購入<b> <br> こうにゅう <br>[sound:k-0552_購入.mp3]
[sound:k-0552_購入.mp3]	purchase, buy<br> <b>購入</b> <br> (こうにゅう)
学校の女子は明日試合があります。	がっこうのじょしはあしたしあいがあります。	s-0552_がっこうのじょしはあしたしあいがあります。.mp3
[sound:s-0552_がっこうのじょしはあしたしあいがあります。.mp3]	学校の女子は明日試合があります。がっこうのじょしはあしたしあいがあります。The schoolgirls have a match tomorrow.	
収入	[sound:k-0553_収入.mp3]<br>しゅうにゅう <br> income, receipts, revenue
income, receipts, revenue	<b>収入<b> <br> しゅうにゅう <br>[sound:k-0553_収入.mp3]
[sound:k-0553_収入.mp3]	income, receipts, revenue<br> <b>収入</b> <br> (しゅうにゅう)
その会社のCEOは女性です。	そのかいしゃのCEOはじょせいです。	s-0553_そのかいしゃのCEOはじょせいです。.mp3
[sound:s-0553_そのかいしゃのCEOはじょせいです。.mp3]	その会社のCEOは女性です。そのかいしゃのCEOはじょせいです。The CEO of that company is a woman.	
導入	[sound:k-0554_導入.mp3]<br>どうにゅう <br> introduction, bringing in, leading in, installation
introduction, bringing in, leading in, installation	<b>導入<b> <br> どうにゅう <br>[sound:k-0554_導入.mp3]
[sound:k-0554_導入.mp3]	introduction, bringing in, leading in, installation<br> <b>導入</b> <br> (どうにゅう)
そのイベントは男女共にオープンです。	そのイベントはだんじょともにオープンです。	s-0554_そのイベントはだんじょともにオープンです。.mp3
[sound:s-0554_そのイベントはだんじょともにオープンです。.mp3]	そのイベントは男女共にオープンです。そのイベントはだんじょともにオープンです。The event is open to both men and women.	
介入	[sound:k-0555_介入.mp3]<br>かいにゅう <br> intervention
intervention	<b>介入<b> <br> かいにゅう <br>[sound:k-0555_介入.mp3]
[sound:k-0555_介入.mp3]	intervention<br> <b>介入</b> <br> (かいにゅう)
彼女は毎日公園で犬と散歩します。	かのじょはまいにちこうえんでいぬとさんぽします。	s-0555_かのじょはまいにちこうえんでいぬとさんぽします。.mp3
[sound:s-0555_かのじょはまいにちこうえんでいぬとさんぽします。.mp3]	彼女は毎日公園で犬と散歩します。かのじょはまいにちこうえんでいぬとさんぽします。She walks her dog in the park every day.	
受け入れ	[sound:k-0556_受け入れ.mp3]<br>うけいれ <br> receiving, acceptance
receiving, acceptance	<b>受け入れ<b> <br> うけいれ <br>[sound:k-0556_受け入れ.mp3]
[sound:k-0556_受け入れ.mp3]	receiving, acceptance<br> <b>受け入れ</b> <br> (うけいれ)
その女優は映画で素晴らしい演技を見せました。	そのじょゆうはえいがですばらしいえんぎをみせました。	s-0556_そのじょゆうはえいがですばらしいえんぎをみせました。.mp3
[sound:s-0556_そのじょゆうはえいがですばらしいえんぎをみせました。.mp3]	その女優は映画で素晴らしい演技を見せました。そのじょゆうはえいがですばらしいえんぎをみせました。That actress delivered a wonderful performance in the movie.	
入札	[sound:k-0557_入札.mp3]<br>にゅうさつ <br> bid, bidding
bid, bidding	<b>入札<b> <br> にゅうさつ <br>[sound:k-0557_入札.mp3]
[sound:k-0557_入札.mp3]	bid, bidding<br> <b>入札</b> <br> (にゅうさつ)
彼の家族には長女と次女がいます。	かれのかぞくにはちょうじょとじじょがいます。	s-0557_かれのかぞくにはちょうじょとじじょがいます。.mp3
[sound:s-0557_かれのかぞくにはちょうじょとじじょがいます。.mp3]	彼の家族には長女と次女がいます。かれのかぞくにはちょうじょとじじょがいます。He has an eldest daughter and a second daughter in his family.	
加入	[sound:k-0558_加入.mp3]<br>かにゅう <br> becoming a member, joining, entry, admission, subscription, affiliation, adherence, signing
becoming a member, joining, entry, admission, subscription, affiliation, adherence, signing	<b>加入<b> <br> かにゅう <br>[sound:k-0558_加入.mp3]
[sound:k-0558_加入.mp3]	becoming a member, joining, entry, admission, subscription, affiliation, adherence, signing<br> <b>加入</b> <br> (かにゅう)
その少女は夢中で本を読んでいました。	そのしょうじょはむちゅうでほんをよんでいました。	s-0558_そのしょうじょはむちゅうでほんをよんでいました。.mp3
[sound:s-0558_そのしょうじょはむちゅうでほんをよんでいました。.mp3]	その少女は夢中で本を読んでいました。そのしょうじょはむちゅうでほんをよんでいました。The young girl was absorbed in reading a book.	
参入	[sound:k-0559_参入.mp3]<br>さんにゅう <br> coming, visiting, going
coming, visiting, going	<b>参入<b> <br> さんにゅう <br>[sound:k-0559_参入.mp3]
[sound:k-0559_参入.mp3]	coming, visiting, going<br> <b>参入</b> <br> (さんにゅう)
彼女は有名な女子大学で学んでいます。	かのじょはゆうめいなじょしだいがくでまなんでいます。	s-0559_かのじょはゆうめいなじょしだいがくでまなんでいます。.mp3
[sound:s-0559_かのじょはゆうめいなじょしだいがくでまなんでいます。.mp3]	彼女は有名な女子大学で学んでいます。かのじょはゆうめいなじょしだいがくでまなんでいます。She is studying at a famous women's university.	
選	[sound:k-0560_選.mp3]<br>せん <br> selection, choice, election; compilation, editing
selection, choice, election; compilation, editing	<b>選<b> <br> せん <br>[sound:k-0560_選.mp3]
[sound:k-0560_選.mp3]	selection, choice, election; compilation, editing<br> <b>選</b> <br> (せん)
公園でたくさんの女の子が遊んでいます。	こうえんでたくさんのおんなのこがあそんでいます。	s-0560_こうえんでたくさんのおんなのこがあそんでいます。.mp3
[sound:s-0560_こうえんでたくさんのおんなのこがあそんでいます。.mp3]	公園でたくさんの女の子が遊んでいます。こうえんでたくさんのおんなのこがあそんでいます。Many girls are playing in the park.	
選ぶ	[sound:k-0561_選ぶ.mp3]<br>えらぶ <br> to choose, to select
to choose, to select	<b>選ぶ<b> <br> えらぶ <br>[sound:k-0561_選ぶ.mp3]
[sound:k-0561_選ぶ.mp3]	to choose, to select<br> <b>選ぶ</b> <br> (えらぶ)
彼の初恋は中学生の時でした。	かれのはつこいはちゅうがくせいのときでした。	s-0561_かれのはつこいはちゅうがくせいのときでした。.mp3
[sound:s-0561_かれのはつこいはちゅうがくせいのときでした。.mp3]	彼の初恋は中学生の時でした。かれのはつこいはちゅうがくせいのときでした。His first love was in middle school.	
選挙	[sound:k-0562_選挙.mp3]<br>せんきょ <br> election
election	<b>選挙<b> <br> せんきょ <br>[sound:k-0562_選挙.mp3]
[sound:k-0562_選挙.mp3]	election<br> <b>選挙</b> <br> (せんきょ)
その映画の最初のシーンが印象的でした。	そのえいがのさいしょのしーんがいんしょうてきでした。	s-0562_そのえいがのさいしょのしーんがいんしょうてきでした。.mp3
[sound:s-0562_そのえいがのさいしょのしーんがいんしょうてきでした。.mp3]	その映画の最初のシーンが印象的でした。そのえいがのさいしょのしーんがいんしょうてきでした。The first scene of the movie was impressive.	
