presenting a case, suing	<b>提訴<b> <br> ていそ <br>[sound:k-2536_提訴.mp3]
<b>視覚</b> <br> 絵画は私たちの視覚を刺激します。	[sound:s-2788_絵画は私たちの視覚を刺激します。.mp3] <br> かいがはわたしたちのしかくをしげきします。 <br>Paintings stimulate our visual senses.
[sound:s-2788_絵画は私たちの視覚を刺激します。.mp3]	<b>視覚</b> <br> 絵画は私たちの視覚を刺激します。<br> かいがはわたしたちのしかくをしげきします <br>Paintings stimulate our visual senses.
真珠湾	[sound:k-2789_真珠湾.mp3]<br>しんじゅわん <br> Pearl Harbor
Pearl Harbor	<b>真珠湾<b> <br> しんじゅわん <br>[sound:k-2789_真珠湾.mp3]
[sound:k-2789_真珠湾.mp3]	Pearl Harbor<br> <b>真珠湾</b> <br> (しんじゅわん)
<b>条件</b> <br> 成功するためには、厳しい条件を受け入れなければなりません。	[sound:s-2789_成功するためには、厳しい条件を受け入れなければなりません。.mp3] <br> せいこうするためには、きびしいじょうけんをうけいれなければなりません。 <br>"To succeed, one must accept tough conditions."
[sound:s-2789_成功するためには、厳しい条件を受け入れなければなりません。.mp3]	<b>条件</b> <br> 成功するためには、厳しい条件を受け入れなければなりません。<br> せいこうするためには、きびしいじょうけんをうけいれなければなりません <br>To succeed, one must accept tough conditions.
流れ	[sound:k-2790_流れ.mp3]<br>ながれ <br> stream, current, flow
stream, current, flow	<b>流れ<b> <br> ながれ <br>[sound:k-2790_流れ.mp3]
[sound:k-2790_流れ.mp3]	stream, current, flow<br> <b>流れ</b> <br> (ながれ)
<b>条約</b> <br> 両国間で新しい貿易条約が締結されました。	[sound:s-2790_両国間で新しい貿易条約が締結されました。.mp3] <br> りょうこくかんであたらしいぼうえきじょうやくがていけつされました。 <br>A new trade treaty was signed between the two countries.
[sound:s-2790_両国間で新しい貿易条約が締結されました。.mp3]	<b>条約</b> <br> 両国間で新しい貿易条約が締結されました。<br> りょうこくかんであたらしいぼうえきじょうやくがていけつされました <br>A new trade treaty was signed between the two countries.
交流	[sound:k-2791_交流.mp3]<br>こうりゅう <br> intercourse, (cultural) exchange, intermingling; alternating current, AC
intercourse, (cultural) exchange, intermingling; alternating current, AC	<b>交流<b> <br> こうりゅう <br>[sound:k-2791_交流.mp3]
[sound:k-2791_交流.mp3]	intercourse,<br> <b>cultural) exchange, intermingling; alternating current, AC (交流</b> <br> (こうりゅう)
<b>条項</b> <br> 契約書の重要な条項を確認してください。	[sound:s-2791_契約書の重要な条項を確認してください。.mp3] <br> けいやくしょのじゅうようなじょうこうをかくにんしてください。 <br>Please review the important clauses of the contract.
[sound:s-2791_契約書の重要な条項を確認してください。.mp3]	<b>条項</b> <br> 契約書の重要な条項を確認してください。<br> けいやくしょのじゅうようなじょうこうをかくにんしてください <br>Please review the important clauses of the contract.
流す	[sound:k-2792_流す.mp3]<br>ながす <br> to drain, to pour, to spill, to shed (blood, tears); to wash away; to distribute (e.g. electricity over wires, music over a PA system, etc.), to circulate, to broadcast, to beam; to cruise (e.g. taxi); to float, to set adrift
to drain, to pour, to spill, to shed (blood, tears); to wash away; to distribute (e.g. electricity over wires, music over a PA system, etc.), to circulate, to broadcast, to beam; to cruise (e.g. taxi); to float, to set adrift	<b>流す<b> <br> ながす <br>[sound:k-2792_流す.mp3]
[sound:k-2792_流す.mp3]	to drain, to pour, to spill, to shed<br> <b>blood, tears); to wash away; to distribute (e.g. electricity over wires, music over a PA system, etc.), to circulate, to broadcast, to beam; to cruise (e.g. taxi); to float, to set adrift (流す</b> <br> (ながす)
<b>条例</b> <br> その都市では、深夜の騒音を制限する条例があります。	[sound:s-2792_その都市では、深夜の騒音を制限する条例があります。.mp3] <br> そのとしでは、しんやのそうおんをせいげんするじょうれいがあります。 <br>"In that city, there is an ordinance to restrict late-night noise."
[sound:s-2792_その都市では、深夜の騒音を制限する条例があります。.mp3]	<b>条例</b> <br> その都市では、深夜の騒音を制限する条例があります。<br> そのとしでは、しんやのそうおんをせいげんするじょうれいがあります <br>In that city, there is an ordinance to restrict late-night noise.
流通	[sound:k-2793_流通.mp3]<br>りゅうつう <br> circulation of money or goods, flow of water or air, distribution; negotiable (e.g. shares)
circulation of money or goods, flow of water or air, distribution; negotiable (e.g. shares)	<b>流通<b> <br> りゅうつう <br>[sound:k-2793_流通.mp3]
[sound:k-2793_流通.mp3]	circulation of money or goods, flow of water or air, distribution; negotiable<br> <b>e.g. shares) (流通</b> <br> (りゅうつう)
<b>条件付き</b> <br> この契約は条件付きで有効です。	[sound:s-2793_この契約は条件付きで有効です。.mp3] <br> このけいやくはじょうけんつきでゆうこうです。 <br>This contract is valid under certain conditions.
[sound:s-2793_この契約は条件付きで有効です。.mp3]	<b>条件付き</b> <br> この契約は条件付きで有効です。<br> このけいやくはじょうけんつきでゆうこうです <br>This contract is valid under certain conditions.
主流	[sound:k-2794_主流.mp3]<br>しゅりゅう <br> main current (stream), mainline, mainstream
main current (stream), mainline, mainstream	<b>主流<b> <br> しゅりゅう <br>[sound:k-2794_主流.mp3]
[sound:k-2794_主流.mp3]	main current<br> <b>stream), mainline, mainstream (主流</b> <br> (しゅりゅう)
<b>無条件</b> <br> 愛は無条件で人々を包み込みます。	[sound:s-2794_愛は無条件で人々を包み込みます。.mp3] <br> あいはむじょうけんでひとびとをつつみこみます。 <br>Love embraces people unconditionally.
[sound:s-2794_愛は無条件で人々を包み込みます。.mp3]	<b>無条件</b> <br> 愛は無条件で人々を包み込みます。<br> あいはむじょうけんでひとびとをつつみこみます <br>Love embraces people unconditionally.
流出	[sound:k-2795_流出.mp3]<br>りゅうしゅつ <br> discharge, outward flow, efflux, effluence; leak of (private) information or pictures
discharge, outward flow, efflux, effluence; leak of (private) information or pictures	<b>流出<b> <br> りゅうしゅつ <br>[sound:k-2795_流出.mp3]
[sound:k-2795_流出.mp3]	discharge, outward flow, efflux, effluence; leak of<br> <b>private) information or pictures (流出</b> <br> (りゅうしゅつ)
<b>労働条件</b> <br> その企業は良い労働条件を提供しています。	[sound:s-2795_その企業は良い労働条件を提供しています。.mp3] <br> そのきぎょうはよいろうどうじょうけんをていきょうしています。 <br>The company provides good working conditions.
[sound:s-2795_その企業は良い労働条件を提供しています。.mp3]	<b>労働条件</b> <br> その企業は良い労働条件を提供しています。<br> そのきぎょうはよいろうどうじょうけんをていきょうしています <br>The company provides good working conditions.
流行	[sound:k-2796_流行.mp3]<br>りゅうこう, はやり <br> fashion, fad, vogue, craze
fashion, fad, vogue, craze	<b>流行<b> <br> りゅうこう, はやり <br>[sound:k-2796_流行.mp3]
[sound:k-2796_流行.mp3]	fashion, fad, vogue, craze<br> <b>流行</b> <br> (りゅうこう, はやり)
<b>条文</b> <br> 法律の条文を理解するのは難しいことです。	[sound:s-2796_法律の条文を理解するのは難しいことです。.mp3] <br> ほうりつのじょうぶんをりかいするのはむずかしいことです。 <br>Understanding legal texts is difficult.
[sound:s-2796_法律の条文を理解するのは難しいことです。.mp3]	<b>条文</b> <br> 法律の条文を理解するのは難しいことです。<br> ほうりつのじょうぶんをりかいするのはむずかしいことです <br>Understanding legal texts is difficult.
一流	[sound:k-2797_一流.mp3]<br>いちりゅう <br> first-class, top grade, school (of art), foremost, top-notch, unique
first-class, top grade, school (of art), foremost, top-notch, unique	<b>一流<b> <br> いちりゅう <br>[sound:k-2797_一流.mp3]
[sound:k-2797_一流.mp3]	first-class, top grade, school<br> <b>of art), foremost, top-notch, unique (一流</b> <br> (いちりゅう)
<b>信条</b> <br> 彼は自分の信条に忠実です。	[sound:s-2797_彼は自分の信条に忠実です。.mp3] <br> かれはじぶんのしんじょうにちゅうじつです。 <br>He is faithful to his beliefs.
[sound:s-2797_彼は自分の信条に忠実です。.mp3]	<b>信条</b> <br> 彼は自分の信条に忠実です。<br> かれはじぶんのしんじょうにちゅうじつです <br>He is faithful to his beliefs.
流動	[sound:k-2798_流動.mp3]<br>りゅうどう <br> flow
flow	<b>流動<b> <br> りゅうどう <br>[sound:k-2798_流動.mp3]
[sound:k-2798_流動.mp3]	flow<br> <b>流動</b> <br> (りゅうどう)
<b>一条</b> <br> 彼の提案は一条のみで否定されました。	[sound:s-2798_彼の提案は一条のみで否定されました。.mp3] <br> かれのていあんはいちじょうのみでひていされました。 <br>His proposal was rejected on a single point.
[sound:s-2798_彼の提案は一条のみで否定されました。.mp3]	<b>一条</b> <br> 彼の提案は一条のみで否定されました。<br> かれのていあんはいちじょうのみでひていされました <br>His proposal was rejected on a single point.
火砕流	[sound:k-2799_火砕流.mp3]<br>かさいりゅう <br> pyroclastic flow (type of volcanic eruption), stone wind
pyroclastic flow (type of volcanic eruption), stone wind	<b>火砕流<b> <br> かさいりゅう <br>[sound:k-2799_火砕流.mp3]
[sound:k-2799_火砕流.mp3]	pyroclastic flow<br> <b>type of volcanic eruption), stone wind (火砕流</b> <br> (かさいりゅう)
